,Year,Company,City,State,Title,Salary Level,Area,Total Annual Compensation,Years of Experience,Years at Company,Base Salary,Stock Grant Value,Bonus,Masters Degree,Bachelors Degree,Doctorate Degree,Highschool,Some College
0,2020,UBS,Krakow, MA,Business Analyst,1,Analytic,40000,5,2.0,40000,0,0,0,0,0,0,0
1,2021,HCA Healthcare,Nashville, TN,Business Analyst,1,Inventory,41000,1,1.0,41000,0,0,0,1,0,0,0
2,2021,Qualtrics,Provo, UT,Business Analyst,1,General,48000,0,0.0,44000,1000,3000,0,0,0,0,0
3,2021,Clearwater Analytics,Boise, ID,Business Analyst,1,general,50000,5,0.0,48000,0,0,1,0,0,0,0
4,2020,CIBC,Ontario, CA,Business Analyst,1,Product,50000,2,1.0,50000,0,0,0,0,0,0,0
5,2020,Spectrum,San Diego, CA,Business Analyst,1,Analytic,60000,0,0.0,50000,5000,2000,0,0,0,0,0
6,2020,Amazon,Seattle, WA,Business Analyst,1,Growth,53000,5,3.0,53000,0,0,0,0,0,0,0
7,2020,JPMorgan Chase,Dallas, TX,Business Analyst,1,Other,55000,1,1.0,55000,1000,1000,1,0,0,0,0
8,2020,JPmorgan Chase,Columbus, OH,Business Analyst,1,Analytic,57000,3,3.0,57000,0,3000,1,0,0,0,0
9,2020,vizio,Irvine, CA,Business Analyst,1,Operations,57000,1,1.0,57000,0,0,0,0,0,0,0
10,2020,BNY Mellon,Pittsburgh, PA,Business Analyst,1,Analytic,63000,0,0.0,58000,0,5000,0,1,0,0,0
11,2020,Deloitte,Orlando, FL,Business Analyst,1,Operations,59000,1,1.0,59000,0,0,0,0,0,0,0
12,2021,Deloitte,Lake Mary, FL,Business Analyst,1,Customer & Marketing,64000,0,0.0,59000,0,5000,0,1,0,0,0
13,2021,Amazon,Nashville, TN,Business Analyst,1,General,65000,1,0.0,60000,5000,0,1,0,0,0,0
14,2020,Facebook,Austin, TX,Business Analyst,1,Operations,71000,0,0.0,60000,4000,7000,0,0,0,0,0
15,2020,JPMorgan Chase,New York, NY,Business Analyst,1,Analytic,65000,0,0.0,60000,0,5000,0,1,0,0,0
16,2020,JPMorgan Chase,Columbus, OH,Business Analyst,1,Analytic,64000,0,0.0,60000,0,4000,0,0,0,0,0
17,2021,Kroger,Cincinnati, OH,Business Analyst,1,Finance,70000,0,0.0,60000,0,10000,0,1,0,0,0
18,2021,Morgan Stanley,New York, NY,Business Analyst,1,Operations,70000,0,0.0,60000,0,10000,0,0,0,0,0
19,2021,Amazon,Seattle, WA,Business Analyst,1,General,100000,4,4.0,63000,37000,0,0,0,0,0,0
20,2021,amazon,Seattle, WA,Business Analyst,1,General,77000,2,1.0,64000,3000,13000,1,0,0,0,0
21,2021,Amazon,Seattle, WA,Business Analyst,1,Finance,80000,1,1.0,65000,11000,7000,0,0,0,0,0
22,2020,Cisco,Raleigh, NC,Business Analyst,1,DevOps,65000,1,1.0,65000,0,2000,0,1,0,0,0
23,2021,Convoy,Seattle, WA,Business Analyst,1,Operations,65000,10,2.0,65000,0,0,0,1,0,0,0
24,2021,Logitech,Newark, CA,Business Analyst,1,Operation and Analytics,70000,4,1.0,65000,0,5000,0,0,0,0,0
25,2020,Northrop Grumman,San Diego, CA,Business Analyst,1,Production,65000,1,1.0,65000,0,0,0,1,0,0,0
26,2020,Qualtrics,Provo, UT,Business Analyst,1,Data,71000,4,4.0,65000,1000,5000,0,0,0,0,0
27,2020,Uber,Amsterdam, NH,Business Analyst,1,Analytic,85000,5,5.0,65000,10000,10000,0,1,0,0,0
28,2020,CBRE,Philadelphia, PA,Business Analyst,1,Analytic,66000,3,1.0,66000,0,5000,1,0,0,0,0
29,2021,Micron,Boise, ID,Business Analyst,1,Marketing,81000,1,1.0,66000,10000,5000,0,0,0,0,0
30,2020,Capgemini,Chicago, IL,Business Analyst,1,Tech Consulting,68000,0,0.0,68000,0,0,0,0,0,0,0
31,2020,JPMorgan Chase,Columbus, OH,Business Analyst,1,Analytic,73000,2,2.0,68000,0,5000,0,0,0,0,0
32,2021,Oracle,Redwood City, CA,Business Analyst,1,general,68000,3,3.0,68000,0,0,0,1,0,0,0
33,2020,Amazon,Seattle, WA,Business Analyst,1,Supply Chain,92000,1,1.0,69000,13000,10000,1,0,0,0,0
34,2020,Amazon,Seattle, WA,Business Analyst,1,Analytic,90000,1,1.0,69000,13000,10000,1,0,0,0,0
35,2021,Johnson & Johnson,Titusville, NJ,Business Analyst,1,General,73000,1,0.0,69000,0,6000,0,0,0,0,0
36,2020,Anaplan,Minneapolis, MN,Business Analyst,1,Data,70000,4,2.0,70000,0,0,0,0,0,0,0
37,2020,Cognizant,Mason, OH,Business Analyst,1,Product,72000,13,1.0,70000,0,2000,0,1,0,0,0
38,2020,Danaher,Indianapolis, IN,Business Analyst,1,Supply chain,73000,3,3.0,70000,0,3000,0,1,0,0,0
39,2020,Deloitte,Atlanta, GA,Business Analyst,1,Operations,70000,1,1.0,70000,0,2000,0,0,0,0,0
40,2021,Genesys,Raleigh, NC,Business Analyst,1,Sales,74000,2,1.0,70000,0,4000,0,1,0,0,0
41,2020,Google,Amsterdam, NH,Business Analyst,1,Analytic,117000,8,6.0,70000,23000,24000,1,0,0,0,0
42,2021,JPMorgan Chase,New York, NY,Business Analyst,1,General,70000,0,0.0,70000,0,0,0,1,0,0,0
43,2020,Slalom,Seattle, WA,Business Analyst,1,Operations,77000,3,1.0,70000,0,7000,0,0,0,0,0
44,2021,Wayfair,Boston, MA,Business Analyst,1,Operations,82000,0,0.0,70000,0,12000,0,1,0,0,0
45,2021,Wayfair,Boston, MA,Business Analyst,1,Marketing,77000,0,0.0,70000,0,7000,0,1,0,0,0
46,2021,Wayfair,Boston, MA,Business Analyst,1,Growth,77000,0,0.0,70000,0,7000,0,1,0,0,0
47,2020,Google,San Francisco, CA,Business Analyst,1,Analyst,93000,0,0.0,71000,11000,11000,0,0,0,0,0
48,2021,Qualcomm,San Diego, CA,Business Analyst,1,General,71000,3,1.0,71000,0,0,0,0,0,0,0
49,2020,Amazon,Los Angeles, CA,Business Analyst,1,Production Finance,87000,5,1.0,72000,0,15000,0,1,0,0,0
50,2020,Amazon,Seattle, WA,Business Analyst,1,Operations,80000,1,1.0,72000,2000,6000,0,0,0,0,0
51,2018,Amazon,Seattle, WA,Business Analyst,1,Analytics,93000,7,2.0,72000,12000,9000,0,0,0,0,0
52,2021,American Express,New York, NY,Business Analyst,1,General,75000,2,0.0,72000,0,3000,0,1,0,0,0
53,2020,Delta Air Lines,Atlanta, GA,Business Analyst,1,Data and Analytics,73000,1,0.0,72000,0,1000,0,1,0,0,0
54,2020,Fidelity Investments,Boston, MA,Business Analyst,1,Web Development (Front-End),82000,2,2.0,72000,0,10000,0,0,0,0,0
55,2020,Gap,New York, NY,Business Analyst,1,,72000,1,1.0,72000,0,0,0,1,0,0,0
56,2020,Amazon,Seattle, WA,Business Analyst,1,Operations,85000,1,0.0,73000,7000,5000,0,0,0,0,0
57,2021,Deloitte,Washington, DC,Business Analyst,1,Product,74000,0,0.0,74000,0,0,1,0,0,0,0
58,2021,JPMorgan Chase,San Antonio, TX,Business Analyst,1,Analytics,79000,12,12.0,74000,0,5000,0,0,0,0,1
59,2021,Amazon,Seattle, WA,Business Analyst,1,SQL/ ETL/ Tableau,79000,3,3.0,75000,4000,0,0,1,0,0,0
60,2020,Amazon,Seattle, WA,Business Analyst,1,Production,95000,1,1.0,75000,20000,0,0,0,0,0,0
61,2021,Amazon,Seattle, WA,Business Analyst,1,General,87000,1,0.0,75000,8000,4000,0,0,0,0,0
62,2021,Amazon,Seattle, WA,Business Analyst,1,General,96000,0,0.0,75000,11000,10000,0,0,0,0,0
63,2020,Amazon,Seattle, WA,Business Analyst,1,Analytic,90000,0,0.0,75000,15000,0,0,0,0,0,0
64,2020,Amazon,Seattle, WA,Business Analyst,1,Analytic,85000,1,0.0,75000,5000,5000,0,0,0,0,0
65,2021,American Express,Phoenix, AZ,Business Analyst,1,General,95000,2,0.0,75000,0,20000,0,0,0,0,0
66,2020,Blue Yonder,Waukesha, WI,Business Analyst,1,Mobile (iOS + Android),79000,6,3.0,75000,0,5000,0,0,0,0,0
67,2021,EPAM Systems,Pennsylvania Furnace, PA,Business Analyst,1,Business Consulting,78000,0,0.0,75000,0,3000,0,0,0,0,0
68,2020,Excella,Arlington, VA,Business Analyst,1,Production,78000,3,3.0,75000,0,3000,0,1,0,0,0
69,2021,Ford Motor,Dearborn, MI,Business Analyst,1,Purchasing,79000,1,1.0,75000,0,4000,0,1,0,0,0
70,2020,Ford Motor,Dearborn, MI,Business Analyst,1,Operations,79000,2,1.0,75000,0,4000,0,1,0,0,0
71,2020,Johnson & Johnson,New Brunswick, NJ,Business Analyst,1,Analytic,81000,0,0.0,75000,0,6000,0,0,0,0,0
72,2020,Juniper Square,San Francisco, CA,Business Analyst,1,Operations,75000,0,0.0,75000,0,5000,0,0,0,0,0
73,2021,NXP Semiconductors,Austin, TX,Business Analyst,1,General,75000,2,1.0,75000,0,0,1,0,0,0,0
74,2020,Staples,Boston, MA,Business Analyst,1,Operations,75000,0,0.0,75000,0,2000,0,0,0,0,0
75,2021,Tempus,New York, NY,Business Analyst,1,Marketing,80000,1,1.0,75000,0,5000,0,0,0,0,0
76,2021,Thermo Fisher Scientific,Carlsbad, CA,Business Analyst,1,HR,81000,3,1.0,75000,0,6000,0,1,0,0,0
77,2021,Uber,Amsterdam, NH,Business Analyst,1,Operations,88000,4,4.0,75000,3000,10000,0,1,0,0,0
78,2020,Visa,Austin, TX,Business Analyst,1,Other,90000,0,0.0,75000,3000,12000,0,0,0,0,0
79,2021,Amazon,Seattle, WA,Business Analyst,1,General,93000,2,2.0,76000,10000,7000,1,0,0,0,0
80,2020,Applied Materials,Hillsboro, OR,Business Analyst,1,Analytic,81000,4,2.0,76000,0,5000,1,0,0,0,0
81,2020,Uber,Chicago, IL,Business Analyst,1,Ops,101000,1,1.0,77000,15000,9000,1,0,0,0,0
82,2021,Wayfair,Boston, MA,Business Analyst,1,Operations,89000,3,3.0,77000,5000,8000,0,1,0,0,0
83,2020,Accenture,Detroit, MI,Business Analyst,1,iOS,90000,1,1.0,78000,8000,3000,0,1,0,0,0
84,2020,Deloitte,Sacramento, CA,Business Analyst,1,Product,88000,1,1.0,78000,0,10000,0,1,0,0,0
85,2021,Deloitte,Sacramento, CA,Business Analyst,1,General,88000,0,0.0,78000,0,10000,0,1,0,0,0
86,2021,Deloitte,Arlington, VA,Business Analyst,1,General,90000,0,0.0,78000,0,10000,0,1,0,0,0
87,2020,Deloitte Consulting,Washington, DC,Business Analyst,1,Analytic,78000,1,1.0,78000,0,0,0,1,0,0,0
88,2020,Ernst and Young,San Jose, CA,Business Analyst,1,Analytic,83000,1,0.0,78000,0,5000,1,0,0,0,0
89,2021,Freddie Mac,Fairfax, VA,Business Analyst,1,General,81000,5,3.0,78000,0,3000,0,1,0,0,0
90,2020,JPMorgan,New York, NY,Business Analyst,1,Finance,78000,1,0.0,78000,0,0,0,0,0,0,0
91,2020,JPMorgan Chase,Jersey City, NJ,Business Analyst,1,Operations,78000,1,1.0,78000,0,0,0,0,0,0,0
92,2020,PayPal,Chicago, IL,Business Analyst,1,Finance,96000,2,2.0,78000,10000,8000,1,0,0,0,0
93,2021,Wayfair,Boston, MA,Business Analyst,1,Algorithms,92000,1,1.0,78000,6000,8000,0,1,0,0,0
94,2020,Buzzfeed,Los Angeles, CA,Business Analyst,1,iOS,79000,2,2.0,79000,0,0,0,0,0,0,0
95,2021,Cisco,San Francisco, CA,Business Analyst,1,Operations,86000,0,0.0,79000,0,7000,0,1,0,0,0
96,2021,Cisco,San Jose, CA,Business Analyst,1,General,86000,1,1.0,79000,0,7000,0,1,0,0,0
97,2021,Fidelity Investments,Boston, MA,Business Analyst,1,Data analyst,90000,2,2.0,79000,0,11000,0,0,0,0,0
98,2020,Amazon,Seattle, WA,Business Analyst,1,Operations,120000,0,0.0,80000,4000,36000,1,0,0,0,0
99,2021,Amazon,Seattle, WA,Business Analyst,1,General,90000,3,0.0,80000,0,10000,1,0,0,0,0
100,2020,Amazon,Seattle, WA,Business Analyst,1,Data,120000,5,0.0,80000,20000,20000,0,0,0,0,0
101,2021,Amazon,Seattle, WA,Business Analyst,1,BI,93000,3,2.0,80000,8000,5000,0,0,0,0,0
102,2021,Capital One,Chicago, IL,Business Analyst,1,Credit,80000,1,1.0,80000,0,0,0,0,0,0,0
103,2020,Capital One,Plano, TX,Business Analyst,1,Analytic,88000,0,0.0,80000,3000,5000,0,0,0,0,0
104,2020,CBRE,San Jose, CA,Business Analyst,1,Operations,80000,10,3.0,80000,0,0,0,0,0,0,1
105,2020,Cisco,San Jose, CA,Business Analyst,1,Networking,87000,0,0.0,80000,0,7000,0,1,0,0,0
106,2020,Cisco,San Jose, CA,Business Analyst,1,Networking,85000,0,0.0,80000,0,5000,0,0,0,0,0
107,2020,Cisco,San Jose, CA,Business Analyst,1,Analytics,80000,1,0.0,80000,0,0,0,0,0,0,0
108,2020,CVS Health,Irving, TX,Business Analyst,1,Analytic,96000,20,9.0,80000,4000,12000,0,1,0,0,0
109,2021,Deloitte,Philadelphia, PA,Business Analyst,1,Security,95000,1,1.0,80000,0,15000,0,1,0,0,0
110,2020,Deloitte,Washington, DC,Business Analyst,1,Production,82000,3,1.0,80000,0,2000,0,0,0,0,0
111,2020,Discover,Deerfield, IL,Business Analyst,1,Analytic,84000,3,3.0,80000,0,4000,0,0,0,0,0
112,2021,Goldman Sachs,Dallas, TX,Business Analyst,1,Analytic,97000,1,1.0,80000,0,17000,1,0,0,0,0
113,2021,goPuff,Philadelphia, PA,Business Analyst,1,data analyst,92000,3,3.0,80000,4000,8000,1,0,0,0,0
114,2021,JPMorgan Chase,Wilmington, DE,Business Analyst,1,General,85000,3,1.0,80000,0,0,1,0,0,0,0
115,2020,JPMorgan Chase,Plano, TX,Business Analyst,1,Analytic,85000,5,1.0,80000,0,5000,1,0,0,0,0
116,2021,Kla,San Jose, CA,Business Analyst,1,Operations,88000,3,0.0,80000,0,8000,0,0,0,0,0
117,2021,Morgan Stanley,New York, NY,Business Analyst,1,General,95000,1,1.0,80000,0,15000,0,0,0,0,0
118,2021,Slalom,Dallas, TX,Business Analyst,1,Product,87000,1,1.0,80000,0,7000,1,0,0,0,0
119,2020,Wayfair,Boston, MA,Business Analyst,1,Operations,97000,1,0.0,80000,9000,8000,0,1,0,0,0
120,2021,Wayfair,Boston, MA,Business Analyst,1,Operations,97000,2,1.0,80000,9000,8000,0,1,0,0,0
121,2020,Wayfair,Boston, MA,Business Analyst,1,Analytic,108000,2,2.0,80000,20000,8000,0,0,0,0,0
122,2020,Splunk,Boulder, CO,Business Analyst,1,Marketing,100000,5,2.0,81000,12000,8000,0,0,0,0,0
123,2021,Facebook,Menlo Park, CA,Business Analyst,1,Analytic,102000,3,2.0,82000,0,20000,0,1,0,0,0
124,2020,Google,Mountain View, CA,Business Analyst,1,Partnerships,110000,1,1.0,82000,16000,12000,0,0,0,0,0
125,2020,Uber,San Francisco, CA,Business Analyst,1,Operations,100000,5,2.0,83000,10000,5000,0,0,0,0,0
126,2021,Verizon,Basking Ridge, NJ,Business Analyst,1,Analytic,93000,4,1.0,83000,2000,10000,0,1,0,0,0
127,2021,Expedia,Seattle, WA,Business Analyst,1,Finance,94000,7,4.0,84000,0,10000,0,1,0,0,0
128,2020,Lam Research,Livermore, CA,Business Analyst,1,Operations,94000,2,2.0,84000,2000,8000,1,0,0,0,0
129,2021,Thermo Fisher Scientific,Frederick, MD,Business Analyst,1,Security,92000,4,4.0,84000,0,8000,0,0,0,0,0
130,2020,Airbnb,Portland, OR,Business Analyst,1,Operations,125000,5,1.0,85000,30000,10000,0,1,0,0,0
131,2021,Allstate,San Francisco, CA,Business Analyst,1,Data Analyst,100000,2,2.0,85000,0,15000,0,0,0,0,0
132,2021,Boeing,Seattle, WA,Business Analyst,1,Analytic,95000,5,5.0,85000,0,10000,0,0,0,0,0
133,2021,Fidelity Investments,Boston, MA,Business Analyst,1,Financial Services,102000,2,2.0,85000,2000,15000,0,1,0,0,0
134,2021,SAP,Newtown Square, PA,Business Analyst,1,Sales Operations,96000,6,6.0,85000,0,12000,0,1,0,0,0
135,2021,SAP,Newtown Square, PA,Business Analyst,1,Sales Operations,96000,6,6.0,85000,0,11000,0,1,0,0,0
136,2020,Twitter,San Francisco, CA,Business Analyst,1,Internal,89000,1,1.0,85000,0,4000,0,1,0,0,0
137,2021,Visa,San Francisco, CA,Business Analyst,1,Analytic,90000,0,0.0,85000,0,5000,0,0,0,0,0
138,2020,Wayfair,Boston, MA,Business Analyst,1,Operations,100000,2,1.0,85000,5000,9000,0,0,0,0,0
139,2020,Cisco,San Jose, CA,Business Analyst,1,Operations,88000,6,2.0,86000,0,2000,1,0,0,0,0
140,2020,EY,New York, NY,Business Analyst,1,Tech consulting,86000,4,2.0,86000,0,5000,1,0,0,0,0
141,2021,Accenture,New York, NY,Business Analyst,1,Strategy and Consulting,97000,0,0.0,87000,0,10000,0,1,0,0,0
142,2021,Oliver Wyman,New York, NY,Business Analyst,1,Operations,93000,1,1.0,87000,0,6000,0,0,0,0,0
143,2020,U.S. Bank,Portland, OR,Business Analyst,1,Operations,92000,11,8.0,87000,0,6000,0,1,0,0,0
144,2020,Blue Origin,Seattle, WA,Business Analyst,1,Operations,88000,4,3.0,88000,0,0,0,0,0,0,0
145,2020,Capital one,Washington, DC,Business Analyst,1,None,102000,0,0.0,88000,0,13000,0,0,0,0,0
146,2020,Capital One,Washington, DC,Business Analyst,1,ML / AI,95000,1,1.0,88000,0,7000,0,1,0,0,0
147,2020,Capital One,Washington, DC,Business Analyst,1,Data,99000,0,0.0,88000,0,11000,0,1,0,0,0
148,2020,Capital One,Fairfax, VA,Business Analyst,1,Data,95000,0,0.0,88000,0,7000,0,0,0,0,0
149,2020,Capital One,Washington, DC,Business Analyst,1,Analyst,91000,0,0.0,88000,0,3000,0,0,0,0,0
150,2021,Deloitte,San Diego, CA,Business Analyst,1,Analytic,90000,3,1.0,88000,0,2000,0,1,0,0,0
151,2020,Goldman Sachs,New York, NY,Business Analyst,1,Operations,98000,1,1.0,88000,0,10000,0,1,0,0,0
152,2020,Quest diagnostics,Secaucus, NJ,Business Analyst,1,Analytic,90000,3,3.0,88000,0,2000,1,0,0,0,0
153,2021,Capital One,Richmond, VA,Business Analyst,1,Data,91000,0,0.0,89000,0,2000,0,0,0,0,0
154,2020,Capital One,Washington, DC,Business Analyst,1,Analytics,95000,1,1.0,89000,0,6000,0,0,0,0,0
155,2021,Adobe,San Jose, CA,Business Analyst,1,FP&A,112000,3,2.0,90000,13000,9000,0,1,0,0,0
156,2020,Amazon,Seattle, WA,Business Analyst,1,Operations,106000,5,1.0,90000,10000,6000,0,0,0,0,0
157,2020,Amazon,Seattle, WA,Business Analyst,1,Analytic,120000,2,2.0,90000,20000,10000,1,0,0,0,0
158,2021,Autodesk,San Francisco, CA,Business Analyst,1,Finance,99000,5,2.0,90000,0,9000,0,0,0,0,0
159,2021,BNP Paribas,New York, NY,Business Analyst,1,General,123000,1,1.0,90000,0,33000,0,1,0,0,0
160,2021,Boeing,Mesa, AZ,Business Analyst,1,Infrastructure,90000,3,2.0,90000,0,2000,0,0,0,0,0
161,2020,Capital One,Washington, DC,Business Analyst,1,Web Development (Front-End),96000,0,0.0,90000,0,6000,0,0,0,0,0
162,2020,Goldman Sachs,New York, NY,Business Analyst,1,Research,135000,3,1.0,90000,0,45000,0,0,0,0,0
163,2021,Google,Ireland, IN,Business Analyst,1,Finance,135000,7,4.0,90000,25000,20000,1,0,0,0,0
164,2020,IBM,Dallas, TX,Business Analyst,1,Infrastructure,100000,4,1.0,90000,1000,9000,0,0,0,0,0
165,2020,Indeed,San Francisco, CA,Business Analyst,1,Growth,104000,1,1.0,90000,0,14000,0,1,0,0,0
166,2020,Morningstar,Chicago, IL,Business Analyst,1,Research,110000,7,7.0,90000,10000,5000,0,0,0,0,0
167,2020,Oracle,Madrid, MD,Business Analyst,1,Analytic,90000,25,20.0,90000,0,0,0,1,0,0,0
